density, u velocity, pressure, x points
0.872999,0.159305,0.826227,-0.497497
0.870728,0.162299,0.823223,-0.495495
0.868455,0.165301,0.82022,-0.493493
0.866182,0.168311,0.817219,-0.491491
0.863907,0.171329,0.81422,-0.489489
0.861632,0.174354,0.811223,-0.487487
0.859356,0.177386,0.808228,-0.485485
0.857079,0.180425,0.805236,-0.483483
0.854802,0.18347,0.802247,-0.481481
0.852526,0.186522,0.799261,-0.479479
0.850249,0.18958,0.796279,-0.477477
0.847973,0.192644,0.793301,-0.475475
0.845697,0.195714,0.790326,-0.473473
0.843423,0.19879,0.787356,-0.471471
0.841148,0.201871,0.78439,-0.469469
0.838875,0.204957,0.781428,-0.467467
0.836603,0.208048,0.778472,-0.465465
0.834333,0.211144,0.77552,-0.463463
0.832064,0.214245,0.772573,-0.461461
0.829796,0.21735,0.769632,-0.459459
0.82753,0.22046,0.766696,-0.457457
0.825265,0.223574,0.763765,-0.455455
0.823003,0.226693,0.76084,-0.453453
0.820742,0.229815,0.757921,-0.451451
0.818484,0.232942,0.755008,-0.449449
0.816228,0.236072,0.752101,-0.447447
0.813974,0.239206,0.7492,-0.445445
0.811722,0.242344,0.746305,-0.443443
0.809473,0.245485,0.743417,-0.441441
0.807226,0.248629,0.740535,-0.439439
0.804982,0.251777,0.73766,-0.437437
0.802741,0.254928,0.734791,-0.435435
0.800502,0.258082,0.731929,-0.433433
0.798266,0.261239,0.729074,-0.431431
0.796033,0.264399,0.726226,-0.429429
0.793803,0.267562,0.723385,-0.427427
0.791577,0.270728,0.720551,-0.425425
0.789353,0.273897,0.717724,-0.423423
0.787132,0.277068,0.714904,-0.421421
0.784914,0.280241,0.712091,-0.419419
0.7827,0.283417,0.709286,-0.417417
0.780489,0.286596,0.706488,-0.415415
0.778281,0.289777,0.703697,-0.413413
0.776077,0.29296,0.700914,-0.411411
0.773876,0.296145,0.698139,-0.409409
0.771679,0.299333,0.695371,-0.407407
0.769485,0.302522,0.69261,-0.405405
0.767295,0.305714,0.689857,-0.403403
0.765108,0.308908,0.687112,-0.401401
0.762925,0.312104,0.684375,-0.399399
0.760745,0.315301,0.681645,-0.397397
0.75857,0.318501,0.678923,-0.395395
0.756398,0.321702,0.676209,-0.393393
0.75423,0.324905,0.673503,-0.391391
0.752065,0.32811,0.670804,-0.389389
0.749905,0.331316,0.668113,-0.387387
0.747748,0.334524,0.665431,-0.385385
0.745595,0.337734,0.662756,-0.383383
0.743446,0.340945,0.660089,-0.381381
0.741301,0.344157,0.65743,-0.379379
0.73916,0.347372,0.654779,-0.377377
0.737023,0.350587,0.652136,-0.375375
0.73489,0.353804,0.649501,-0.373373
0.732761,0.357022,0.646874,-0.371371
0.730636,0.360242,0.644255,-0.369369
0.728515,0.363463,0.641645,-0.367367
0.726398,0.366685,0.639042,-0.365365
0.724285,0.369909,0.636447,-0.363363
0.722177,0.373133,0.633861,-0.361361
0.720072,0.376359,0.631282,-0.359359
0.717972,0.379586,0.628712,-0.357357
0.715876,0.382814,0.626149,-0.355355
0.713784,0.386043,0.623595,-0.353353
0.711696,0.389273,0.621049,-0.351351
0.709612,0.392504,0.618511,-0.349349
0.707533,0.395737,0.615981,-0.347347
0.705458,0.39897,0.613459,-0.345345
0.703387,0.402204,0.610946,-0.343343
0.70132,0.405439,0.60844,-0.341341
0.699258,0.408675,0.605943,-0.339339
0.6972,0.411911,0.603454,-0.337337
0.695146,0.415149,0.600972,-0.335335
0.693097,0.418388,0.598499,-0.333333
0.691052,0.421627,0.596035,-0.331331
0.689011,0.424867,0.593578,-0.329329
0.686975,0.428108,0.591129,-0.327327
0.684942,0.431349,0.588689,-0.325325
0.682915,0.434591,0.586256,-0.323323
0.680891,0.437834,0.583832,-0.321321
0.678872,0.441078,0.581416,-0.319319
0.676858,0.444322,0.579008,-0.317317
0.674848,0.447567,0.576608,-0.315315
0.672842,0.450812,0.574216,-0.313313
0.67084,0.454058,0.571832,-0.311311
0.668843,0.457305,0.569456,-0.309309
0.666851,0.460552,0.567089,-0.307307
0.664862,0.4638,0.564729,-0.305305
0.662879,0.467048,0.562378,-0.303303
0.660899,0.470296,0.560034,-0.301301
0.658924,0.473545,0.557699,-0.299299
0.656954,0.476795,0.555371,-0.297297
0.654988,0.480045,0.553052,-0.295295
0.653026,0.483295,0.550741,-0.293293
0.651069,0.486546,0.548437,-0.291291
0.649117,0.489797,0.546142,-0.289289
0.647169,0.493048,0.543855,-0.287287
0.645225,0.4963,0.541576,-0.285285
0.643286,0.499552,0.539304,-0.283283
0.641351,0.502804,0.537041,-0.281281
0.639421,0.506057,0.534786,-0.279279
0.637495,0.50931,0.532538,-0.277277
0.635574,0.512563,0.530299,-0.275275
0.633657,0.515816,0.528068,-0.273273
0.631745,0.519069,0.525844,-0.271271
0.629837,0.522323,0.523628,-0.269269
0.627934,0.525577,0.521421,-0.267267
0.626035,0.52883,0.519221,-0.265265
0.624141,0.532084,0.517029,-0.263263
0.622252,0.535338,0.514845,-0.261261
0.620367,0.538592,0.512669,-0.259259
0.618486,0.541846,0.510501,-0.257257
0.61661,0.5451,0.50834,-0.255255
0.614739,0.548354,0.506188,-0.253253
0.612872,0.551608,0.504043,-0.251251
0.61101,0.554862,0.501907,-0.249249
0.609152,0.558116,0.499778,-0.247247
0.607299,0.56137,0.497656,-0.245245
0.605451,0.564623,0.495543,-0.243243
0.603607,0.567877,0.493438,-0.241241
0.601767,0.57113,0.49134,-0.239239
0.599933,0.574383,0.48925,-0.237237
0.598102,0.577636,0.487168,-0.235235
