density, u_velocity, v_velocity, pressure, x_points, y_points, z_points
0.222332, 573.26, -317.969, 40517.6, -0.423542, -1.00078, 0.0
0.261249, 562.752, -336.953, 45662.1, -0.447251, -1.05688, 0.0
0.302315, 561.354, -357.378, 50893.5, -0.471928, -1.11527, 0.0
0.328056, 577.9, -364.226, 52759.4, -0.497611, -1.17604, 0.0
0.296421, 638.053, -305.023, 42447.6, -0.524343, -1.23929, 0.0
0.189459, 775.91, -126.38, 19957.2, -0.552166, -1.30512, 0.0
0.121312, 866.532, -2.34323, 10354.8, -0.581124, -1.37364, 0.0
0.116167, 867.944, -0.0484009, 10003.3, -0.611264, -1.44496, 0.0
0.116144, 867.971, -0.000545382, 10000.1, -0.642634, -1.51919, 0.0
0.116144, 867.972, -2.46484e-05, 10000, -0.675284, -1.59644, 0.0
0.116144, 867.972, -3.36547e-07, 10000, -0.709267, -1.67685, 0.0
0.116144, 867.972, 2.2411e-08, 10000, -0.744637, -1.76054, 0.0
0.116144, 867.972, -9.48727e-10, 10000, -0.78145, -1.84765, 0.0
0.116144, 867.972, -3.5314e-11, 10000, -0.819765, -1.93831, 0.0
0.116144, 867.972, 6.93082e-12, 10000, -0.859645, -2.03267, 0.0
0.116144, 867.972, -5.36904e-13, 10000, -0.901151, -2.13088, 0.0
0.116144, 867.972, 3.23049e-14, 10000, -0.944352, -2.2331, 0.0
0.116144, 867.972, -7.55938e-15, 10000, -0.989315, -2.33949, 0.0
0.116144, 867.972, 2.10758e-15, 10000, -1.03611, -2.45023, 0.0
0.116144, 867.972, -7.7978e-15, 10000, -1.08482, -2.56548, 0.0
0.116144, 867.972, 5.31496e-14, 10000, -1.13552, -2.68544, 0.0
0.116144, 867.972, 4.07044e-14, 10000, -1.18828, -2.81029, 0.0
0.116144, 867.972, 1.20892e-14, 10000, -1.2432, -2.94023, 0.0
0.116144, 867.972, -3.12783e-14, 10000, -1.30036, -3.07548, 0.0
0.184453, 572.823, -327.634, 39890.8, -0.45785, -0.919521, 0.0
0.241657, 535.395, -330.12, 45046.7, -0.482999, -0.970097, 0.0
0.279973, 527.525, -346.012, 50118, -0.509175, -1.02274, 0.0
0.320187, 527.927, -364.223, 55243.5, -0.536419, -1.07752, 0.0
0.341956, 547.74, -368.241, 56299.8, -0.564774, -1.13455, 0.0
0.302256, 617.366, -302.373, 43846.2, -0.594287, -1.1939, 0.0
0.183068, 783.431, -105.617, 18514.2, -0.625005, -1.25567, 0.0
0.119309, 867.059, -1.06455, 10235.7, -0.656976, -1.31997, 0.0
0.116197, 867.956, -0.0465239, 10002.6, -0.690251, -1.38689, 0.0
0.116143, 867.971, 5.32456e-05, 10000, -0.724885, -1.45653, 0.0
0.116144, 867.972, -2.60676e-05, 10000, -0.760932, -1.52903, 0.0
0.116144, 867.972, -2.925e-07, 10000, -0.79845, -1.60448, 0.0
0.116144, 867.972, 4.7185e-08, 10000, -0.8375, -1.68301, 0.0
0.116144, 867.972, -2.58121e-09, 10000, -0.878143, -1.76474, 0.0
0.116144, 867.972, 1.81669e-11, 10000, -0.920445, -1.84981, 0.0
0.116144, 867.972, 8.56043e-12, 10000, -0.964473, -1.93835, 0.0
0.116144, 867.972, -8.92733e-13, 10000, -1.0103, -2.03051, 0.0
0.116144, 867.972, 9.99672e-14, 10000, -1.05799, -2.12642, 0.0
0.116144, 867.972, -1.18978e-14, 10000, -1.10763, -2.22625, 0.0
0.116144, 867.972, 7.63393e-16, 10000, -1.1593, -2.33016, 0.0
0.116144, 867.972, -3.04026e-14, 10000, -1.21308, -2.4383, 0.0
0.116144, 867.972, 1.25247e-14, 10000, -1.26905, -2.55086, 0.0
0.116144, 867.972, 2.991e-14, 10000, -1.3273, -2.66801, 0.0
0.116144, 867.972, 2.99337e-14, 10000, -1.38794, -2.78994, 0.0
0.116144, 867.972, 4.20057e-14, 10000, -1.45104, -2.91685, 0.0
0.201888, 529.536, -341.701, 44832.5, -0.513106, -0.888755, 0.0
0.26157, 496.573, -339.205, 49855.7, -0.540336, -0.935979, 0.0
0.298937, 491.407, -352.35, 54784, -0.568678, -0.985131, 0.0
0.337748, 493.887, -368.425, 59699.9, -0.598177, -1.03629, 0.0
0.3551, 516.691, -369.691, 59892.4, -0.628879, -1.08953, 0.0
0.307901, 596.346, -298.374, 45259.6, -0.660834, -1.14495, 0.0
0.17709, 792.948, -85.5679, 17094.9, -0.694094, -1.20263, 0.0
0.117923, 866.659, -1.03892, 10197.1, -0.728711, -1.26267, 0.0
0.116222, 867.969, -0.0403526, 10001.7, -0.76474, -1.32515, 0.0
0.116143, 867.971, 0.000661271, 10000, -0.80224, -1.39018, 0.0
0.116144, 867.972, -3.03922e-05, 10000, -0.84127, -1.45787, 0.0
0.116144, 867.972, -1.50977e-07, 10000, -0.881894, -1.52832, 0.0
0.116144, 867.972, 7.70456e-08, 10000, -0.924175, -1.60165, 0.0
0.116144, 867.972, -5.22673e-09, 10000, -0.968181, -1.67797, 0.0
0.116144, 867.972, 1.49889e-10, 10000, -1.01398, -1.7574, 0.0
0.116144, 867.972, 7.15308e-12, 10000, -1.06166, -1.84007, 0.0
0.116144, 867.972, -1.30458e-12, 10000, -1.11127, -1.92612, 0.0
0.116144, 867.972, 1.09262e-13, 10000, -1.16291, -2.01568, 0.0
0.116144, 867.972, -6.62008e-15, 10000, -1.21666, -2.1089, 0.0
0.116144, 867.972, 1.18533e-14, 10000, -1.27261, -2.20592, 0.0
0.116144, 867.972, -1.51564e-14, 10000, -1.33083, -2.3069, 0.0
0.116144, 867.972, 3.02234e-14, 10000, -1.39144, -2.41199, 0.0
0.116144, 867.972, -5.2338e-15, 10000, -1.45451, -2.52138, 0.0
0.116144, 867.972, 1.18373e-14, 10000, -1.52016, -2.63524, 0.0
0.116144, 867.972, 2.97221e-14, 10000, -1.58849, -2.75374, 0.0
0.220231, 485, -351.502, 50152.3, -0.566331, -0.854705, 0.0
0.282043, 456.892, -345.056, 54952.9, -0.595367, -0.898577, 0.0
0.318101, 454.459, -355.814, 59654, -0.625589, -0.94424, 0.0
0.354834, 459.221, -369.811, 64242.5, -0.657044, -0.991767, 0.0
0.367747, 484.734, -368.539, 63567.4, -0.689782, -1.04123, 0.0
0.313568, 574.845, -293.225, 46744.9, -0.723857, -1.09272, 0.0
0.172201, 803.243, -67.4675, 15795.7, -0.759322, -1.1463, 0.0
0.116552, 866.705, -0.668791, 10147.8, -0.796235, -1.20208, 0.0
0.116242, 867.984, -0.0311261, 10000.7, -0.834654, -1.26013, 0.0
0.116142, 867.971, 0.00123666, 10000, -0.874641, -1.32054, 0.0
0.116144, 867.972, -4.00217e-05, 10000, -0.91626, -1.38343, 0.0
0.116144, 867.972, 2.84601e-07, 10000, -0.959577, -1.44888, 0.0
0.116144, 867.972, 1.02481e-07, 10000, -1.00466, -1.517, 0.0
0.116144, 867.972, -8.79908e-09, 10000, -1.05159, -1.5879, 0.0
0.116144, 867.972, 3.94104e-10, 10000, -1.10043, -1.66169, 0.0
0.116144, 867.972, -9.19121e-13, 10000, -1.15126, -1.7385, 0.0
0.116144, 867.972, -1.52057e-12, 10000, -1.20417, -1.81844, 0.0
0.116144, 867.972, 1.67999e-13, 10000, -1.25924, -1.90164, 0.0
0.116144, 867.972, -9.42753e-15, 10000, -1.31655, -1.98824, 0.0
0.116144, 867.972, 3.12706e-14, 10000, -1.3762, -2.07838, 0.0
0.116144, 867.972, 2.89106e-14, 10000, -1.43829, -2.17219, 0.0
0.116144, 867.972, 5.13077e-16, 10000, -1.50291, -2.26983, 0.0
0.116144, 867.972, 3.21845e-14, 10000, -1.57017, -2.37145, 0.0
0.116144, 867.972, -8.95724e-15, 10000, -1.64018, -2.47723, 0.0
0.116144, 867.972, 2.05157e-14, 10000, -1.71304, -2.58731, 0.0
0.239911, 439.04, -356.407, 55972.2, -0.617335, -0.817505, 0.0
0.303234, 416.337, -347.297, 60390.2, -0.647917, -0.858049, 0.0
0.337527, 416.717, -356.121, 64741.2, -0.679749, -0.900248, 0.0
0.371303, 423.692, -368.059, 68877.9, -0.712879, -0.944169, 0.0
0.380181, 452.12, -364.796, 67332.7, -0.747361, -0.989882, 0.0
0.319437, 552.664, -287.047, 48358.3, -0.78325, -1.03746, 0.0
0.168373, 813.826, -51.5079, 14616.9, -0.820604, -1.08698, 0.0
0.115232, 867.038, -0.192862, 10094.3, -0.859483, -1.13852, 0.0
0.116259, 867.998, -0.0216269, 9999.78, -0.899948, -1.19217, 0.0
0.116142, 867.971, 0.00179938, 9999.98, -0.942065, -1.248, 0.0
0.116144, 867.972, -5.7837e-05, 10000, -0.9859, -1.30612, 0.0
0.116144, 867.972, 1.28887e-06, 10000, -1.03152, -1.3666, 0.0
0.116144, 867.972, 1.06385e-07, 10000, -1.07901, -1.42955, 0.0
0.116144, 867.972, -1.27111e-08, 10000, -1.12844, -1.49508, 0.0
0.116144, 867.972, 7.68505e-10, 10000, -1.17988, -1.56327, 0.0
0.116144, 867.972, -1.98339e-11, 10000, -1.23342, -1.63425, 0.0
0.116144, 867.972, -1.3146e-12, 10000, -1.28914, -1.70813, 0.0
0.116144, 867.972, 1.73759e-13, 10000, -1.34714, -1.78502, 0.0
0.116144, 867.972, -6.00042e-14, 10000, -1.40751, -1.86505, 0.0
0.116144, 867.972, -2.37284e-14, 10000, -1.47034, -1.94834, 0.0
0.116144, 867.972, 2.35406e-14, 10000, -1.53574, -2.03504, 0.0
0.116144, 867.972, 1.93374e-14, 10000, -1.6038, -2.12527, 0.0
0.116144, 867.972, 6.7308e-14, 10000, -1.67464, -2.21918, 0.0
0.116144, 867.972, 8.31678e-15, 10000, -1.74837, -2.31693, 0.0
0.116144, 867.972, 8.57865e-15, 10000, -1.82512, -2.41867, 0.0
0.260916, 392.917, -356.432, 62264.1, -0.665935, -0.777302, 0.0
0.325702, 374.814, -344.872, 66324.1, -0.697823, -0.814562, 0.0
0.35728, 378.021, -352.45, 70130.1, -0.731012, -0.853343, 0.0
0.387616, 387.452, -362.894, 73636.9, -0.765556, -0.893707, 0.0
0.392509, 418.939, -358.296, 71198.8, -0.80151, -0.935717, 0.0
0.325659, 529.66, -279.845, 50148.5, -0.838931, -0.979442, 0.0
0.165516, 824.302, -37.7441, 13548.8, -0.877879, -1.02495, 0.0
0.113984, 867.514, 0.2561, 10041.4, -0.918417, -1.07232, 0.0
0.116281, 868.012, -0.0137257, 9998.95, -0.960609, -1.12162, 0.0
0.116142, 867.971, 0.00241123, 9999.96, -1.00452, -1.17293, 0.0
0.116143, 867.972, -8.67582e-05, 10000, -1.05023, -1.22634, 0.0
0.116144, 867.972, 3.1968e-06, 10000, -1.0978, -1.28192, 0.0
0.116144, 867.972, 6.25315e-08, 10000, -1.14731, -1.33978, 0.0
0.116144, 867.972, -1.55835e-08, 10000, -1.19885, -1.39999, 0.0
0.116144, 867.972, 1.24767e-09, 10000, -1.25248, -1.46266, 0.0
0.116144, 867.972, -5.28332e-11, 10000, -1.30831, -1.52789, 0.0
0.116144, 867.972, -1.74402e-13, 10000, -1.36641, -1.59579, 0.0
0.116144, 867.972, 2.1046e-13, 10000, -1.42689, -1.66645, 0.0
0.116144, 867.972, -8.89366e-14, 10000, -1.48983, -1.74, 0.0
0.116144, 867.972, -2.80381e-14, 10000, -1.55534, -1.81655, 0.0
0.116144, 867.972, 1.47148e-14, 10000, -1.62353, -1.89622, 0.0
0.116144, 867.972, -5.49668e-14, 10000, -1.6945, -1.97914, 0.0
0.116144, 867.972, 9.51225e-15, 10000, -1.76836, -2.06545, 0.0
0.116144, 867.972, 1.04521e-14, 10000, -1.84524, -2.15528, 0.0
0.116144, 867.972, -2.04813e-14, 10000, -1.92526, -2.24878, 0.0
0.282228, 348.54, -352.753, 68682.1, -0.71196, -0.73425, 0.0
0.347453, 335.168, -339.206, 72302.9, -0.744932, -0.768289, 0.0
0.377113, 339.872, -344.68, 75687.7, -0.779249, -0.803717, 0.0
0.404335, 350.662, -353.488, 78630.7, -0.814966, -0.840591, 0.0
0.404899, 385.357, -348.676, 75187.2, -0.852142, -0.878969, 0.0
0.332321, 505.872, -271.496, 52141.1, -0.890834, -0.918914, 0.0
0.1635, 834.348, -26.1049, 12571.8, -0.931106, -0.960489, 0.0
0.112761, 868.02, 0.628395, 9991.67, -0.973021, -1.00376, 0.0
0.116317, 868.028, -0.00855983, 9998.2, -1.01665, -1.0488, 0.0
0.116142, 867.971, 0.00312517, 9999.94, -1.06205, -1.09567, 0.0
0.116143, 867.972, -0.00012881, 10000, -1.10931, -1.14446, 0.0
0.116144, 867.972, 6.3479e-06, 10000, -1.1585, -1.19524, 0.0
0.116144, 867.972, -6.46362e-08, 10000, -1.2097, -1.24809, 0.0
0.116144, 867.972, -1.49732e-08, 10000, -1.26298, -1.3031, 0.0
0.116144, 867.972, 1.72976e-09, 10000, -1.31844, -1.36036, 0.0
0.116144, 867.972, -1.0005e-10, 10000, -1.37616, -1.41995, 0.0
0.116144, 867.972, 2.34828e-12, 10000, -1.43624, -1.48197, 0.0
0.116144, 867.972, 2.25845e-13, 10000, -1.49877, -1.54652, 0.0
0.116144, 867.972, -2.34127e-14, 10000, -1.56385, -1.61371, 0.0
0.116144, 867.972, -7.58155e-15, 10000, -1.63159, -1.68364, 0.0
0.116144, 867.972, 1.38999e-15, 10000, -1.70209, -1.75643, 0.0
0.116144, 867.972, -5.5859e-15, 10000, -1.77547, -1.83218, 0.0
0.116144, 867.972, 4.19016e-14, 10000, -1.85185, -1.91103, 0.0
0.116144, 867.972, 2.22908e-14, 10000, -1.93134, -1.99309, 0.0
0.116144, 867.972, -1.03212e-14, 10000, -2.01407, -2.0785, 0.0
0.30343, 305.361, -345.169, 75157.4, -0.755247, -0.688514, 0.0
0.368128, 296.774, -330.563, 78250.8, -0.789102, -0.719408, 0.0
0.396047, 303.425, -334.187, 81140.8, -0.824339, -0.751563, 0.0
0.420333, 315.448, -340.967, 83537.5, -0.861013, -0.785031, 0.0
0.417628, 351.811, -335.229, 79346.1, -0.899184, -0.819864, 0.0
0.339442, 481.64, -261.724, 54329.7, -0.938913, -0.856118, 0.0
0.162264, 843.851, -16.3649, 11653.5, -0.980263, -0.893853, 0.0
0.111325, 868.498, 0.934684, 9944.14, -1.0233, -0.933127, 0.0
0.116389, 868.046, -0.00615391, 9997.47, -1.0681, -0.974004, 0.0
0.11614, 867.971, 0.00394307, 9999.92, -1.11472, -1.01655, 0.0
0.116143, 867.972, -0.000183993, 10000, -1.16324, -1.06083, 0.0
0.116144, 867.972, 1.10261e-05, 10000, -1.21375, -1.10692, 0.0
0.116144, 867.972, -3.17384e-07, 10000, -1.26632, -1.15489, 0.0
0.116144, 867.972, -7.30486e-09, 10000, -1.32103, -1.20482, 0.0
0.116144, 867.972, 2.01168e-09, 10000, -1.37797, -1.25678, 0.0
0.116144, 867.972, -1.55748e-10, 10000, -1.43724, -1.31087, 0.0
0.116144, 867.972, 6.27084e-12, 10000, -1.49893, -1.36716, 0.0
0.116144, 867.972, 1.02098e-13, 10000, -1.56313, -1.42575, 0.0
0.116144, 867.972, -9.21703e-15, 10000, -1.62996, -1.48673, 0.0
0.116144, 867.972, -1.81885e-14, 10000, -1.69951, -1.5502, 0.0
0.116144, 867.972, -3.11967e-14, 10000, -1.7719, -1.61626, 0.0
0.116144, 867.972, -3.03373e-14, 10000, -1.84725, -1.68502, 0.0
0.116144, 867.972, -5.66073e-14, 10000, -1.92567, -1.75658, 0.0
0.116144, 867.972, -1.09385e-14, 10000, -2.00729, -1.83106, 0.0
0.116144, 867.972, 1.05082e-14, 10000, -2.09224, -1.90858, 0.0
0.323922, 263.743, -333.688, 81612.8, -0.795645, -0.640267, 0.0
0.388046, 259.58, -318.641, 84123.8, -0.830205, -0.668105, 0.0
0.414047, 268.179, -320.697, 86486.5, -0.866175, -0.697079, 0.0
